adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
,,ANKFY1,,YIF1B,,COPS2,PHAX,MAP2K5,ZC3H6,CHMP4C,,,CFAP276,MLF1,,,,,,,,C2CD3,,DENND4A,,C5orf34,SLC50A1,TSEN54,,,ZGLP1,LDLRAD3,,,,,,,,,,,RSPRY1,,,,HMGN5,C6orf89,CMTM4,,,SGPL1,,,OXR1,,
,,IFIT1,,EEF2,,SGPL1,BAALC,SQOR,TUBB4B,BRI3,,,ZNF154,STAP2,,,,,,,,CTNNB1,,MFSD4A,,NEGR1,MRPL1,RGMA,,,FANCG,RAD23A,,,,,,,,,,,GPBP1L1,,,,MIER1,CALM1,TBK1,,,CCT2,,,GPER1,,
,,MORF4L1,,UBXN6,,CCT2,CTHRC1,CTDSPL2,ZNF383,LMTK2,,,R3HDM2,DDX10,,,,,,,,ULK4,,PELI3,,ZNF131,SHE,LDOC1,,,ZBED8,NSUN7,,,,,,,,,,,TMEM69,,,,ZNF251,SKIC3,CHEK2,,,ARIH1,,,MICALL2,,
,,DMWD,,ZNF444,,COX11,SLC25A32,MAPKBP1,GPR15LG,SOX17,,,GPBAR1,ZNF366,,,,,,,,FADD,,ANGEL2,,SPTLC3,SLC33A1,CYB5D1,,,APOL6,WSCD1,,,,,,,,,,,EFCAB14,,,,HSD17B11,CEP290,KCTD16,,,FAM227B,,,INTS1,,
,,IKZF1,,SRR,,CYYR1,DCAF13,NDUFAF1,BLOC1S5,C8orf48,,,C14orf119,LCORL,,,,,,,,SAC3D1,,B4GAT1,,COPRS,SNUPN,UBE2E2,,,CCNL2,CLK3,,,,,,,,,,,CHCHD6,,,,RPS6KL1,MT-CO2,BTBD9,,,TMEM100,,,CDK5,,
,,PCYT2,,ZNF83,,CUL5,VIRMA,KIF23,CERKL,PEX2,,,SOCS4,SH2B1,,,,,,,,MAP4K2,,SH3PXD2B,,TP53RK,SIN3A,GABRG3,,,CKMT1A,GATA2,,,,,,,,,,,CTBP1,,,,QRICH1,GLMP,TTC32,,,SYNPO2L,,,SLC4A2,,
,,ARL17A,,OTUB1,,BORCS7,WASHC5,ITGA11,NCCRP1,SBSPON,,,PTGR3,PLEC,,,,,,,,SCARA3,,NR1D2,,BPGM,PTK2,B4GALNT4,,,HBD,ARID3B,,,,,,,,,,,ZDHHC1,,,,RPL23A,ECI2,LRRC55,,,NUDT13,,,FASTK,,
,,GNB1L,,IGFBP6,,TMEM100,FAM219A,HAUS2,FAM83G,SPIDR,,,RCC1,RNF212,,,,,,,,SCARA5,,PABPC5,,STARD5,RNASE6,CACNB4,,,PLEKHM1,ELMOD2,,,,,,,,,,,ATP6V0D1,,,,SLC29A3,MT-CYB,DIABLO,,,CYB5A,,,FMC1,,
,,NPIPB4,,PRDX2,,ANAPC16,MYORG,RTF1,DUSP28,OSGIN2,,,ZNRF2,GEN1,,,,,,,,COPS6,,BRMS1,,GNB2,SCN9A,TSHZ2,,,MKRN2OS,SHARPIN,,,,,,,,,,,CARMIL2,,,,TMEM116,LDB1,LRRC51,,,PPFIBP2,,,CTHRC1,,
,,FFAR3,,MIS12,,APBB1,CCDC171,PARP6,CCDC9B,MICALL2,,,ALX1,ZNF354B,,,,,,,,PAFAH1B2,,RIN1,,MCRIP2,ZEB2,GLRX5,,,NOL7,MAF1,,,,,,,,,,,PSKH1,,,,PEG3,RPL10A,NR2C2AP,,,CYB5R2,,,SLC25A32,,
,,KLHDC8B,,CD300A,,TRIM44,FXN,TUBGCP4,NBR1,INTS1,,,MTURN,CALML3,,,,,,,,ANKS3,,FZD4,,ZNF24,GJB1,LIMK2,,,SCAMP4,PCED1B,,,,,,,,,,,ABR,,,,SDAD1,COLGALT2,CRELD2,,,SERPINB8,,,VIRMA,,
,,ZNF267,,MRPL58,,DCHS1,MAMDC2,RMDN3,NDOR1,FASTK,,,PAK2,ZFAND2A,,,,,,,,THAP9,,CD248,,MANEA,INO80E,ADI1,,,DHFR,CDH5,,,,,,,,,,,CCDC117,,,,ZKSCAN8,RASSF9,TSPYL2,,,TUB,,,GEM,,
,,IRS2,,ATP5PD,,ATP9B,ALDH1A1,ITPKA,CLN3,ALDH7A1,,,CCDC66,KLHL11,,,,,,,,RNF187,,ADGRE1,,FIBP,BOLA2B,EPHB3,,,ACBD6,MROH1,,,,,,,,,,,ZNF235,,,,GET3,ZNF521,IRAK1,,,RIC3,,,WASHC5,,
,,BICD2,,EVPL,,MOGAT2,KDM1B,UACA,RTL6,OSR2,,,NRIP1,CTNNBIP1,,,,,,,,HOOK3,,DENND6A,,HCFC1,HIC2,SNORC,,,STMND1,SERTAD2,,,,,,,,,,,CALM3,,,,ASPH,MT-CO1,TM2D3,,,PLD4,,,RPP25L,,
,,TMLHE,,SRP68,,RIC3,HGSNAT,TMEM62,S100A16,FZD6,,,H2AC6,ERN1,,,,,,,,LMBRD1,,PTDSS2,,NIPAL4,LUZP1,TRAK1,,,TAPBP,PDXDC1,,,,,,,,,,,DFFA,,,,SPRED2,ZNF358,MAML2,,,TRIM66,,,FAM219A,,
,,LRCH3,,TK1,,IDH3A,GKAP1,PAK6,PTAR1,CTHRC1,,,SSTR2,CSRNP3,,,,,,,,GLYCTK,,MICOS13,,PDE3A,HEXD,TTC3,,,GPX1,SEPHS2,,,,,,,,,,,CCDC28B,,,,ZNF26,UBE2J1,SS18L1,,,RPL27A,,,MYORG,,
,,ZNF529,,TMEM68,,CRABP1,C9orf64,ADAM10,VWC2,SLC25A32,,,OR51E1,GRINA,,,,,,,,UBTD2,,SEZ6L2,,CHCHD1,SPNS1,GALR2,,,HGH1,PSTK,,,,,,,,,,,IQCC,,,,OGA,OPA1,TOP1MT,,,ATMIN,,,CCDC171,,
,,AIDA,,ECI1,,TRIM66,SVEP1,GCOM1,TMEM120B,DCAF13,,,HOXC10,STX19,,,,,,,,DNAJC7,,ASPHD1,,MRPL52,LRRC45,TSKU,,,PPP1R3E,PTGR3,,,,,,,,,,,ZBTB8A,,,,TCAF1,KTI12,CCR10,,,C16orf46,,,NIPSNAP3B,,
,,CDIN1,,ABCA3,,RPL27A,PGAP4,GCHFR,NOXA1,TP53INP1,,,CAPS2,RIIAD1,,,,,,,,COA6,,DHX36,,SMPDL3A,AGPAT2,ANXA2,,,KDM4E,ZNRF2,,,,,,,,,,,SSU72,,,,SH3BGRL2,RUSC2,HDDC3,,,LEO1,,,NFIL3,,
,,CD300LF,,DDB1,,TMEM41B,PCDH19,BCAR3,TMEM198,VIRMA,,,CUEDC1,EXOSC4,,,,,,,,KIF5C,,KLC2,,RAD9A,ASPSCR1,PAQR7,,,NFAM1,FGD6,,,,,,,,,,,FNDC5,,,,TMA16,FICD,SLITRK6,,,ZNF143,,,LETM2,,
,,PIP5K1C,,BSCL2,,ZNF143,PIGA,TTLL7,ZNF548,RPP25L,,,FAM83H,CYBC1,,,,,,,,MGAT2,,CTBP2,,WASHC2C,RFNG,RPS17,,,B3GNT9,OAZ2,,,,,,,,,,,KALRN,,,,ATL1,R3HDM4,LPAR5,,,MAPK7,,,ZMAT4,,
,,ZBTB6,,SPINDOC,,TMX3,WNK2,KYAT3,FAM120AOS,MYORG,,,PITPNB,GAK,,,,,,,,BMI1,,TRAF6,,SLFN11,RAC3,DDX28,,,CKMT1B,CCDC43,,,,,,,,,,,ABCG1,,,,GPN1,TSEN15,SNN,,,MCM7,,,TMEM71,,
,,C2orf76,,TRANK1,,WEE1,NOL6,RABGGTB,C9orf152,CCDC171,,,MRPL14,ZBTB7A,,,,,,,,THAP11,,TVP23C,,TMCC1,PCDH7,ACBD3,,,TXNDC5,FZD2,,,,,,,,,,,NDUFV3,,,,CTNND1,LTN1,NDUFA12,,,ZNF3,,,MAMDC2,,
,,ZNRF1,,ULK4,,HDGFL3,STOML2,IFI44L,NOC2L,NIPSNAP3B,,,SLC25A42,TUFM,,,,,,,,PCMTD1,,MRPS22,,PSME3IP1,ROBO1,HAPSTR1,,,RNF103,MTURN,,,,,,,,,,,PKNOX1,,,,DDX39B,RUNDC1,UBE2G2,,,CLEC4D,,,ALDH1A1,,
,,EDARADD,,NAALADL1,,CCDC68,BRWD3,GIPC2,ZNF292,ABCA1,,,EHMT1,ERICH3,,,,,,,,ACOX2,,MARCKSL1,,CES4A,BRD3,MTA1,,,NME1,TSPYL5,,,,,,,,,,,G6PD,,,,LRBA,CCDC152,APOO,,,ZSCAN21,,,KDM1B,,
,,SOWAHB,,SAC3D1,,ZNF3,OTUD1,ARHGAP29,ADAT2,TMEM71,,,PJA1,FBXO34,,,,,,,,CX3CR1,,YPEL2,,CES3,PUSL1,MCEMP1,,,CDRT4,MB21D2,,,,,,,,,,,CSTB,,,,KLHL9,GRK5,RBM33,,,TMED3,,,HGSNAT,,
,,BTLA,,BATF2,,TMED3,ARHGAP12,IFI44,ZNF567,C9orf64,,,H2AC25,EIF3K,,,,,,,,FILIP1L,,CSRP2,,SSH3,IFFO2,SLC8A1,,,ADSL,PCGF5,,,,,,,,,,,GAB3,,,,STK39,TOP1,JAG2,,,TMEM135,,,C9orf64,,
,,ANKRD37,,MAP4K2,,NDEL1,HECTD2,DBT,NDUFA4,DYNLT3,,,TMEM132E,AURKB,,,,,,,,DTYMK,,DDIT3,,PDP2,CHD3,ABAT,,,PCDHGC3,OR51E1,,,,,,,,,,,RALGDS,,,,CALM1,C1orf174,PTRHD1,,,NDEL1,,,SVEP1,,
,,KPNA4,,SCARA5,,CIAO2B,FBXO33,RTCA,FAM111B,METTL27,,,ZNF322,C3orf38,,,,,,,,RHOH,,MED16,,DMXL1,CNTROB,SMDT1,,,TNFRSF13B,ARSJ,,,,,,,,,,,PCNT,,,,TUSC1,RASGEF1A,WT1,,,CENPV,,,TRPV6,,
,,TRDN,,COPS6,,ATF7IP2,LRFN5,ADCY3,BLOC1S3,KIAA1958,,,WASHC1,EXOC3L1,,,,,,,,STIP1,,GOLGA8A,,NADSYN1,TRAPPC1,PTTG1IP,,,RDH14,PPA1,,,,,,,,,,,PRMT2,,,,SLC9A6,APRT,ROBO2,,,CFAP52,,,CYBB,,
,,RGS7BP,,PAFAH1B2,,B2M,MARCHF8,PPM1B,PLAC9,PCDH19,,,RNF135,RCC2,,,,,,,,SCNN1B,,TP53I11,,DHCR7,SIMC1,JRKL,,,CRCP,HOXC10,,,,,,,,,,,SLC2A6,,,,MT-CO2,TBKBP1,MAFF,,,ATF7IP2,,,DYNLT3,,
,,ZNF396,,NUDT16L1,,AP1G1,PGM2L1,PNPT1,CLDN4,PIGA,,,ACBD4,CCDC89,,,,,,,,RAB31,,ANKS4B,,ANKRD13D,NIPA1,TEKTIP1,,,ATP5MF,PSMG4,,,,,,,,,,,GPSM1,,,,GLMP,CCDC167,BRF1,,,COG1,,,PIGA,,
,,NF2,,KIAA1586,,SLFN5,HEPACAM,CYP1B1,S100A13,GAPVD1,,,SETD2,TMTC2,,,,,,,,BMP1,,EIF3F,,HPSE2,RNF150,NPIPA1,,,ARPIN,ZNF443,,,,,,,,,,,C19orf47,,,,ECI2,MT-CO3,NOMO2,,,ZNF606,,,STRBP,,
,,SMIM29,,FAM83B,,BMERB1,MICU2,RAB1A,KRT77,CARD19,,,TMIE,SAMD4B,,,,,,,,PHYHIP,,CLTB,,TADA2B,CHRNB1,TREX2,,,AP5Z1,SCRIB,,,,,,,,,,,ST6GALNAC6,,,,MT-CYB,KIFBP,SIGIRR,,,B2M,,,NOL6,,
,,C17orf58,,THAP9,,MARF1,PKNOX2,ACTR2,FHIT,WNK2,,,MEX3D,FUCA1,,,,,,,,POLR3D,,RFESD,,RELA,ADPRM,MX2,,,STON1,ZNF572,,,,,,,,,,,RDH13,,,,LDB1,INF2,NRBP2,,,GOLM2,,,BRWD3,,
,,SPIN2B,,RNF187,,YPEL4,DNAAF2,PREB,LIN54,NLGN4Y,,,MRPS23,RAD23A,,,,,,,,MTCL1,,CLCF1,,HECTD4,MRAP,TENT5C,,,PRAF2,PITPNB,,,,,,,,,,,PKN3,,,,SMURF1,EFCAB2,TNFAIP2,,,AP1G1,,,OTUD1,,
,,CXCR3,,TTC39C,,CIAO2A,KLHDC2,PREPL,FAM180A,NOL6,,,DIPK2A,GADD45GIP1,,,,,,,,HEXIM2,,ALG10B,,COQ2,ZNF282,PSMG1,,,NME2,TCEAL8,,,,,,,,,,,BRSK1,,,,COLGALT2,CHML,CDNF,,,LDHC,,,ARHGAP12,,
,,ZDHHC17,,UBTD2,,FAM111A,RPUSD4,ACTR1A,S100A14,AQP3,,,SIAH2,NSUN7,,,,,,,,FNTA,,DRAP1,,HSPA6,ELP5,ACSM5,,,TTC4,LRRC57,,,,,,,,,,,PLPP7,,,,ZNF521,C6orf163,IL3RA,,,FAM111A,,,FBXO33,,
,,ZNF395,,DNAJC7,,KIF7,ARF6,MYOF,SLC35E2B,BRWD3,,,SLC9A9,WSCD1,,,,,,,,SERINC2,,UCP2,,ADCK5,CMTM8,SETD3,,,JMJD7,MRPL14,,,,,,,,,,,MED27,,,,MT-CO1,INPP5B,CCDC137,,,KIF7,,,INTS6L,,
,,KANK3,,FOXI1,,LDHD,DACT1,STAMBPL1,GSPT2,INTS6L,,,RELL1,GATA2,,,,,,,,GFRA2,,C11orf68,,MRPL57,LGALS9B,TANGO2,,,TMEM199,BBS12,,,,,,,,,,,CXCR5,,,,ZNF358,RPA4,SOCS1,,,LDHD,,,MARCHF8,,
,,RPS19BP1,,KIF5C,,DCTN5,BEND7,KIF11,ZFP92,LRFN5,,,RFX7,ARID3B,,,,,,,,ING2,,RAB6A,,ESRRA,PRDM10,SFXN4,,,P2RY11,NQO1,,,,,,,,,,,SHC1,,,,SELENOM,MAFB,ATP6V0A2,,,ANPEP,,,CFL2,,
,,CMC1,,MGAT2,,PLK1,ATP5F1C,TACC2,BLOC1S2,CFL2,,,SLC35C1,GEMIN4,,,,,,,,CDKN2AIP,,B3GNTL1,,MTX1,B3GNT2,CCR3,,,ENSG00000244255,RPH3AL,,,,,,,,,,,VPS11,,,,UBE2J1,CHIC1,GPRIN3,,,NAV2,,,SUGT1,,
,,TSPYL4,,BMI1,,TAC3,VSTM4,CALHM2,IL1RAP,SUGT1,,,RNF41,GCC1,,,,,,,,TMEM223,,PRIMA1,,ABLIM3,FOS,NDUFB1,,,PTCHD4,EHMT1,,,,,,,,,,,ADAR,,,,RUSC2,RUFY2,PRKG1,,,TERF2IP,,,SLC16A9,,
,,GCNT1,,THAP11,,PATL1,PDZD8,ARL3,CFAP119,ZCCHC24,,,ADO,PLD6,,,,,,,,SLC20A2,,BAIAP2,,TUBB8B,TMED10,TRMT12,,,USP51,ZNF746,,,,,,,,,,,CRTC2,,,,FICD,NHSL2,P4HB,,,GPR182,,,CRYL1,,
,,SESTD1,,PDHB,,MAP1A,ZNF503,CEP55,MATCAP1,PHYHIPL,,,COA4,ZBTB42,,,,,,,,TMUB2,,PLEKHF2,,MFSD4B,LRRN2,RFLNB,,,ABHD14A,TMEM132E,,,,,,,,,,,ANO10,,,,R3HDM4,TMEM273,PBX1,,,STX3,,,MICU2,,
,,BCAM,,PXK,,RCCD1,ABRAXAS2,ENTPD1,MYT1,PHOX2A,,,MRPS11,TPPP2,,,,,,,,LRATD2,,A2M,,GOLGB1,GPRC5C,NOG,,,FMN1,DDX60L,,,,,,,,,,,FDPS,,,,LTN1,DAXX,UBE2L3,,,PIP4K2C,,,LRR1,,
,,CIDEC,,PCMTD1,,EVA1C,PRDX3,PLCE1,AKR1C3,CRYL1,,,TNRC18,PCED1B,,,,,,,,SLC16A4,,UBE2O,,MZT2A,MGMT,CMTM4,,,ATP5MF-PTCD1,WASHC1,,,,,,,,,,,RUSC1,,,,RUNDC1,TCEA3,KCNQ5,,,MTMR10,,,DEPP1,,
,,TAF9B,,ACOX2,,MBD6,ENTR1,DNAJC13,ZNF79,MICU2,,,TMEM30B,FOXS1,,,,,,,,TMEM208,,KLHL38,,MICOS10,CD14,TBK1,,,TMEM158,RNF135,,,,,,,,,,,GPATCH4,,,,CCDC152,HSD17B8,DMWD,,,YWHAB,,,KLHDC2,,
,,CHP1,,SEPTIN2,,DUSP18,BORCS5,ANXA7,GREB1,DEPP1,,,KCNIP1,CITED4,,,,,,,,AHCYL1,,DENND2C,,EHBP1L1,PYM1,MACC1,,,ARPIN-AP3S2,ACBD4,,,,,,,,,,,CPSF4,,,,SFMBT2,FKBPL,PCYT2,,,MS4A14,,,NUDT5,,
,,COL4A1,,ING5,,SNRPD1,ZMYND19,FAM149B1,SRGAP3,ARF6,,,MRPL41,PDXDC1,,,,,,,,PKIG,,ASCL3,,PPP1R14B,NPAS2,TBL3,,,YJEFN3,SETD2,,,,,,,,,,,PWWP3A,,,,TOP1,MRPL38,FFAR3,,,MS4A8,,,DACT1,,
,,SIRT7,,ATG4B,,TRUB2,RET,ASCC1,TUBB,AKR1E2,,,RGMA,SEPHS2,,,,,,,,CNNM3,,TUBB6,,SMARCC1,LONRF2,TRAIP,,,SMIM20,MEX3D,,,,,,,,,,,RECQL4,,,,L1CAM,NELFE,POMK,,,MAPRE2,,,PRPF18,,
,,TET3,,RFWD3,,URM1,BMS1,RPS24,XPNPEP3,BEND7,,,UBA7,GPBAR1,,,,,,,,TCTN2,,JAKMIP2,,PEAK1,HSD17B13,CHEK2,,,ATP6V1E2,SLX1B,,,,,,,,,,,ALKBH4,,,,RASGEF1A,SDHD,BICD2,,,PDIA3,,,VDAC2,,
,,C17orf97,,STIP1,,DOLPP1,JCAD,ATIC,PPIA,ATP5F1C,,,LDOC1,DCTPP1,,,,,,,,ABHD15,,TPRN,,GMPPB,ELOVL6,NPIPA5,,,ZNF550,DIPK2A,,,,,,,,,,,CCDC105,,,,DCLRE1A,CSNK2B,NDUFA13,,,NUDT21,,,PDZD8,,
,,HAPLN4,,SCNN1B,,SP2,PIP4P1,CARF,ZNF471,VDAC2,,,ATP6AP2,RCC1,,,,,,,,ZBTB5,,CHMP6,,MOB1B,PFKFB3,LIN9,,,PCDHGA12,AMIGO1,,,,,,,,,,,MRNIP,,,,APRT,BAG6,AIDA,,,NKX3-1,,,ZNF503,,
,,TRPV2,,RAB31,,PRR15L,METTL17,ASNSD1,SUPT3H,QSOX2,,,CYB5D1,ZNRF2,,,,,,,,LCMT2,,TMEM39A,,CSPG4,SMAGP,NUDT14,,,SMIM18,SIAH2,,,,,,,,,,,SQSTM1,,,,TBKBP1,PRRC2A,CDIN1,,,SGSM1,,,FAM204A,,
,,C2orf88,,REEP4,,TBC1D2B,SLC39A2,METTL5,ZKSCAN7,ENOX2,,,UBE2E2,OAZ2,,,,,,,,ZBTB49,,SMIM19,,CEP83,IRF2BP1,GPR39,,,PCDHGA5,RELL1,,,,,,,,,,,MGAT4B,,,,CCDC167,POU5F1,CYP2R1,,,MEI1,,,PRDX3,,
,,SECISBP2,,ATXN2L,,NOD2,NDRG2,FASTKD1,CD55,GHITM,,,GABRG3,ALX1,,,,,,,,DDX19A,,RTTN,,NUDT4,HSPA4,NPIPA9,,,ALG11,SLC35C1,,,,,,,,,,,RPL8,,,,MT-CO3,DHX16,ZBTB6,,,SUN5,,,ENOX2,,
,,ADH1A,,GFRA2,,KATNAL2,NSMF,CIR1,NUDT11,BORCS5,,,AP1S2,CCDC66,,,,,,,,ANKRD49,,ANAPC2,,SCAI,SOCS6,LRRC55,,,PCDHGA6,IBA57,,,,,,,,,,,NAPEPLD,,,,L3MBTL3,MRPS18B,WWOX,,,TMEM92,,,GHITM,,
,,SEMA4D,,TMEM223,,HDHD2,CCDC186,WDR12,ZNF140,STK32C,,,CACNB4,GAS1,,,,,,,,TNIP2,,ZNF135,,NMNAT1,KCNS3,DIABLO,,,UTP14C,ADO,,,,,,,,,,,MFSD12,,,,SGMS1,PPP1R10,KIF18B,,,GOLGA2,,,CLEC1B,,
,,PEAR1,,TMUB2,,MYO5B,ZFYVE1,ABI2,PTPN1,JCAD,,,TRAPPC6B,NRIP1,,,,,,,,TMEM150A,,COX8A,,EIF1AX,SDR16C5,NIPSNAP1,,,PCDHGA10,COA4,,,,,,,,,,,AP2M1,,,,EFCAB2,DDR1,SAPCD2,,,DOLPP1,,,ENTR1,,
,,ZFP69B,,LRATD2,,ACAA2,ARHGAP42,ITGAV,EPHB4,METTL17,,,TSHZ2,H2AC6,,,,,,,,LRRC28,,RNPEP,,TOMM20,HTRA3,LRRC51,,,PCDHGA11,CCDC149,,,,,,,,,,,FBXO27,,,,TATDN3,GNL1,CYP4F12,,,ENDOG,,,STOX1,,
,,EIF4EBP1,,LDLRAD4,,IRGQ,NELL1,SLC40A1,TSC22D2,SLC39A2,,,EXOC7,ZNF594,,,,,,,,INPP5D,,EID2B,,AGFG1,USP32,NR2C2AP,,,PCDHGB7,CHST15,,,,,,,,,,,PLXDC1,,,,GDI1,HLA-E,SOWAHB,,,TBC1D21,,,DDX21,,
,,PALM3,,SLC16A4,,ZNF646,PTER,COX17,ARMCX4,CYP2C19,,,KPNA2,PCGF5,,,,,,,,TM4SF20,,SPRYD4,,RNF213,KBTBD2,CRELD2,,,AP5B1,TMEM30B,,,,,,,,,,,PGAP3,,,,LIME1,RACK1,BLOC1S4,,,PRRX2,,,BMS1,,
,,ZFTRAF1,,TMEM208,,VKORC1,ARL5B,TMOD3,YRDC,HSPA12A,,,GLRX5,TMEM64,,,,,,,,MFF,,SYNE3,,PLK3,RIOX2,TSPYL2,,,ENSG00000254692,TDRKH,,,,,,,,,,,ACOX1,,,,TCEAL6,ASPDH,MRTFB,,,SP2,,,STK32C,,
,,COL14A1,,LRP1B,,CA4,SMCO4,SPPL2A,TRAPPC2,UBTD1,,,MXRA7,SLC36A4,,,,,,,,LGALS9,,LPCAT4,,PHC3,TRIAP1,TM2D3,,,BORCS8,CREB3L2,,,,,,,,,,,KASH5,,,,INPP5B,AKT1S1,TOR3A,,,COQ7,,,JCAD,,
,,ZSCAN23,,AHCYL1,,SMG8,CEP295,GLCE,SULT1A1,PACSIN3,,,MFSD5,HOXC10,,,,,,,,CPLX1,,ZNF575,,GPR160,KIAA0232,TSSC4,,,ANKHD1-EIF4EBP3,RGMA,,,,,,,,,,,ALDH16A1,,,,RPA4,GABBR1,PPP1CC,,,TBC1D2B,,,FUNDC2,,
,,RILPL1,,ZBTB5,,TPM4,ABTB2,INTS14,GDAP2,SLC39A13,,,SATB1,ZNF443,,,,,,,,FEM1B,,SGF29,,SPTBN2,GSTA4,SLIT3,,,CHMP1B,UBA7,,,,,,,,,,,ASB16,,,,CHIC1,DCTN1,BACE1,,,ATP5MG,,,SLC39A2,,
,,C6orf132,,ADAL,,TRAPPC2L,R3HCC1L,PARP16,TPK1,TC2N,,,EPHB3,CUEDC1,,,,,,,,COMMD8,,LMNB2,,C1QTNF1,MSANTD4,EFNA5,,,EID1,UBE2E2,,,,,,,,,,,EMC10,,,,RUFY2,FAM216A,THBS2,,,TBC1D16,,,CASP7,,
,,MAPK12,,LCMT2,,ZNF641,HTRA1,PPCDC,AFAP1,IFI27,,,PLCB1,CMTR2,,,,,,,,ATP5ME,,TYMS,,UBXN2A,NUDT6,PLA2G6,,,HCAR3,GABRG3,,,,,,,,,,,PLCD3,,,,GGTA1,UQCC3,NUDT17,,,MYO5B,,,TRUB1,,
,,NHS,,HTR1E,,DHRS13,CEP57,HCN4,MYO18A,CLMN,,,SKA2,FAM83H,,,,,,,,MAP2K1,,TCIM,,NRROS,CEACAM3,SS18L1,,,ENSG00000255639,B4GALNT4,,,,,,,,,,,LARP4,,,,ZDBF2,PKHD1L1,RPS23,,,ACAA2,,,ZFYVE1,,
,,ZC3H6,,DDX19A,,KMT2D,TCP11L2,SEMA7A,CACNA1H,PTER,,,GALR2,ZNF572,,,,,,,,UPF3A,,GCNT4,,KLHL15,S1PR1,TOP1MT,,,CTSO,C8orf33,,,,,,,,,,,TAMALIN,,,,DAXX,LGR4,GNG2,,,RRM1,,,HSPA12A,,
,,PRKAR1B,,USP39,,RHEBL1,SPRED1,UBL7,SULF2,SMCO4,,,TSKU,PITPNB,,,,,,,,DHRSX,,SEC24C,,GNG5,FPR1,CCR10,,,DNAAF4,PLCXD1,,,,,,,,,,,KRT84,,,,BMPR2,PSMB10,RGS7BP,,,PRRT2,,,FRAT1,,
,,PLA2G2A,,TMEM150A,,NCKAP5L,GPR176,ARHGAP24,MYO6,CEP295,,,ANXA2,SLC25A42,,,,,,,,HSPBAP1,,DEAF1,,CTSF,FEZ2,TXNRD2,,,ENSG00000256591,TRAPPC6B,,,,,,,,,,,SPC24,,,,PFDN6,SNX2,ZNF396,,,ZNF646,,,UBTD1,,
,,ZNF383,,INPP5D,,PROSER3,GPT2,FAM13A,MRTFA,TAF1D,,,PAQR7,CHRM2,,,,,,,,SLC25A6,,MTX3,,MSRB3,SOX7,TMEM255B,,,CHURC1,KPNA2,,,,,,,,,,,ZNF653,,,,HSD17B8,NT5M,SEPTIN10,,,SMG8,,,ARHGAP42,,
,,CENPP,,STXBP6,,LENG8,IKBIP,HERC3,ZNF846,R3HCC1L,,,NGRN,EHMT1,,,,,,,,PARM1,,ZDHHC13,,LEMD3,ALK,HDDC3,,,SYNJ2BP-COX16,CEP97,,,,,,,,,,,TNFSF13,,,,TAP2,ADGRG1,CYP4F3,,,TRAPPC2L,,,SLC39A13,,
,,GTF2F2,,MFF,,ZNF526,RPUSD2,HERC6,TCF4,AMOTL1,,,DDX28,PJA1,,,,,,,,ATF5,,SCN4B,,FAM174A,MTM1,DUSP8,,,ENSG00000259132,LIMK2,,,,,,,,,,,SENP3,,,,HLA-DRA,TECPR1,GPATCH8,,,SPATA33,,,TC2N,,
,,GPR15LG,,UQCRFS1,,SPINT2,HIF1AN,ZGRF1,ERI2,CEP57,,,PLCXD3,DHTKD1,,,,,,,,XPO6,,DSCAML1,,CYB561D1,TRMT61B,SLITRK6,,,THTPA,MFSD5,,,,,,,,,,,EIF4A1,,,,FKBPL,MT1A,ARAP1,,,RPL13,,,IFI27,,
,,CHM,,SLC25A6,,C19orf33,NDUFB8,AP1AR,AMZ2,SPRED1,,,COL18A1,H2AC25,,,,,,,,MN1,,RHOG,,TNK1,MFN1,LPAR5,,,HOXB7,CSF1R,,,,,,,,,,,POLR3K,,,,MRPL38,SAMD9,C17orf58,,,ZNF641,,,CLMN,,
,,CCDC9B,,FAM110B,,YIF1B,ZFYVE19,COPS4,DAPK1,JAM3,,,C11orf54,TMEM132E,,,,,,,,NPIPB12,,EPS8L2,,PHLDA3,FUT3,PDE4B,,,SULT1A3,EPHB3,,,,,,,,,,,WDR90,,,,NELFE,EXOC3L4,ZNF397,,,ZNF610,,,PTER,,
,,NDOR1,,AFAP1L2,,DAPK3,SPINT1,PRKG2,ZNF700,GPT2,,,MTA1,ZNF322,,,,,,,,RSPO1,,ZBTB34,,LIG4,TADA3,SNN,,,GAN,SNORC,,,,,,,,,,,SPSB3,,,,SDHD,RGL3,TPCN1,,,PROSER3,,,CACNB2,,
,,ASAH2,,NSMCE1,,CHAF1A,BTRC,SEC31A,CD47,HIF1AN,,,AP2A2,DDX60L,,,,,,,,LMAN2,,CHD9,,PELI3,SOCS5,CDCA2,,,CCNQ,SKA2,,,,,,,,,,,CCNF,,,,NEU1,EIF3CL,TNFRSF4,,,TTYH1,,,ARL5B,,
